Hokin
Dev2/ai0 Dev2/ai1
[4.86394639e-03 4.89682537e-03 1.69169897e+09]
[4.92970435e-03 4.89682537e-03 1.69169897e+09]
[4.94614384e-03 4.83106741e-03 1.69169897e+09]
[5.02834130e-03 4.84750690e-03 1.69169897e+09]
[4.79818843e-03 4.97902283e-03 1.69169897e+09]
[4.97902283e-03 4.86394639e-03 1.69169897e+09]
[4.99546232e-03 4.91326486e-03 1.69169897e+09]
[4.84750690e-03 4.92970435e-03 1.69169898e+09]
[5.06122028e-03 4.88038588e-03 1.69169898e+09]
[4.94614384e-03 4.92970435e-03 1.69169898e+09]
[5.01190181e-03 4.92970435e-03 1.69169898e+09]
[4.92970435e-03 4.89682537e-03 1.69169898e+09]
[4.91326486e-03 4.96258334e-03 1.69169898e+09]
[4.96258334e-03 4.91326486e-03 1.69169898e+09]
[4.96258334e-03 4.88038588e-03 1.69169898e+09]
[4.88038588e-03 4.88038588e-03 1.69169898e+09]
[4.97902283e-03 4.89682537e-03 1.69169898e+09]
[4.96258334e-03 4.83106741e-03 1.69169898e+09]
[4.96258334e-03 4.94614384e-03 1.69169898e+09]
[4.89682537e-03 4.92970435e-03 1.69169898e+09]
[5.02834130e-03 4.88038588e-03 1.69169898e+09]
[5.01190181e-03 4.92970435e-03 1.69169898e+09]
[4.96258334e-03 4.84750690e-03 1.69169898e+09]
