Hokin
Dev2/ai0 Dev2/ai1
[-7.31771638e-03  7.97101017e-03  1.69170018e+09]
[-7.41635332e-03  7.85593373e-03  1.69170018e+09]
[-7.53142976e-03  7.92169169e-03  1.69170018e+09]
[-7.77802212e-03  8.13540507e-03  1.69170018e+09]
[-8.09037245e-03  8.29979998e-03  1.69170018e+09]
[-8.28764634e-03  8.41487642e-03  1.69170018e+09]
[-8.48492023e-03  8.46419489e-03  1.69170018e+09]
[-8.61643616e-03  8.41487642e-03  1.69170018e+09]
[-1.91212709e-02  8.15184456e-03  1.69170018e+09]
[-7.68567638e-02  8.29979998e-03  1.69170018e+09]
[-1.45277927e-01  6.50789548e-03  1.69170018e+09]
[-1.74408706e-01  6.42569802e-03  1.69170018e+09]
[-1.96470504e-01  4.74886995e-03  1.69170018e+09]
[-1.93577153e-01  4.61735403e-03  1.69170018e+09]
[-1.81773598e-01  4.53515657e-03  1.69170018e+09]
[-1.57952775e-01  2.61530870e-02  1.69170019e+09]
[-5.65539921e-02  1.72152200e-01  1.69170019e+09]
[3.76250050e-03 2.96368982e-01 1.69170019e+09]
[5.43932857e-03 3.55962128e-01 1.69170019e+09]
[5.43932857e-03 3.64444904e-01 1.69170019e+09]
[5.52152603e-03 3.65546349e-01 1.69170019e+09]
[5.43932857e-03 3.68489018e-01 1.69170019e+09]
[5.43932857e-03 3.76758080e-01 1.69170019e+09]
[5.39001010e-03 3.79651430e-01 1.69170019e+09]
[5.43932857e-03 3.76675883e-01 1.69170019e+09]
[5.48864704e-03 3.72861922e-01 1.69170019e+09]
[5.42288908e-03 3.70198725e-01 1.69170019e+09]
[5.43932857e-03 3.67354693e-01 1.69170019e+09]
[5.50508653e-03 3.64510662e-01 1.69170019e+09]
[5.43932857e-03 3.60187076e-01 1.69170019e+09]
[5.52152603e-03 3.58181459e-01 1.69170019e+09]
[5.42288908e-03 3.54285300e-01 1.69170019e+09]
[5.43932857e-03 3.48827390e-01 1.69170019e+09]
[5.42288908e-03 3.35774436e-01 1.69170019e+09]
[5.48864704e-03 2.39734942e-01 1.69170019e+09]
[5.62016297e-03 7.80689984e-02 1.69170019e+09]
