HokinLeft_Hand
Dev2/ai0 Dev2/ai1
[-4.77753038e-02 -6.57793928e-03  1.69204176e+09]
[-6.39517632e-02 -6.56149979e-03  1.69204176e+09]
[-8.86767580e-02 -6.61081827e-03  1.69204176e+09]
[-1.14536078e-01 -6.64369725e-03  1.69204176e+09]
[-1.23775072e-01 -6.57793928e-03  1.69204176e+09]
[-1.31222162e-01 -6.57793928e-03  1.69204176e+09]
[-1.37469169e-01 -6.59437877e-03  1.69204176e+09]
[-1.49354921e-01 -6.57793928e-03  1.69204176e+09]
[-1.51492055e-01 -6.54506030e-03  1.69204176e+09]
[-1.47365742e-01 -6.57793928e-03  1.69204176e+09]
[-1.45343685e-01 -6.54506030e-03  1.69204176e+09]
[-1.49831666e-01 -6.49574183e-03  1.69204176e+09]
[-1.69164508e-01 -6.54506030e-03  1.69204176e+09]
[-1.78699414e-01 -6.56149979e-03  1.69204176e+09]
[-1.86097185e-01 -6.49574183e-03  1.69204176e+09]
[-1.84255962e-01 -6.54506030e-03  1.69204176e+09]
[-1.81083140e-01 -6.52862081e-03  1.69204176e+09]
[-1.78995324e-01 -6.51218132e-03  1.69204176e+09]
[-1.84535433e-01 -6.49574183e-03  1.69204176e+09]
[-1.92557905e-01 -6.44642336e-03  1.69204176e+09]
[-2.12844238e-01 -6.54506030e-03  1.69204176e+09]
[-2.32209959e-01 -6.36422590e-03  1.69204176e+09]
[-2.84882091e-01 -6.49574183e-03  1.69204176e+09]
[-2.99348844e-01 -6.44642336e-03  1.69204176e+09]
[-3.31488051e-01 -6.38066539e-03  1.69204176e+09]
[-3.45165708e-01 -6.39710488e-03  1.69204176e+09]
[-3.68838577e-01 -6.41354437e-03  1.69204176e+09]
[-3.89322184e-01 -6.42998387e-03  1.69204176e+09]
[-4.14359530e-01 -6.42998387e-03  1.69204176e+09]
[-4.68165988e-01 -6.38066539e-03  1.69204176e+09]
[-4.85230180e-01 -6.33134692e-03  1.69204176e+09]
[-4.94008869e-01 -6.34778641e-03  1.69204176e+09]
[-4.77289906e-01 -6.34778641e-03  1.69204176e+09]
[-4.74725345e-01 -6.28202845e-03  1.69204176e+09]
[-4.54060903e-01 -6.38066539e-03  1.69204176e+09]
[-4.47633062e-01 -6.36422590e-03  1.69204176e+09]
[-4.32969035e-01 -6.33134692e-03  1.69204176e+09]
[-4.28629009e-01 -6.38066539e-03  1.69204176e+09]
[-4.26902863e-01 -6.34778641e-03  1.69204176e+09]
[-4.28464614e-01 -6.34778641e-03  1.69204176e+09]
[-4.39676348e-01 -6.38066539e-03  1.69204176e+09]
[-4.34876016e-01 -6.34778641e-03  1.69204176e+09]
[-4.22447760e-01 -6.28202845e-03  1.69204176e+09]
[-3.55259556e-01  3.33700234e-02  1.69204176e+09]
[-2.11035894e-01  1.32302877e-01  1.69204176e+09]
[-8.96795670e-02  2.55549731e-01  1.69204176e+09]
[-2.27050799e-02  3.09405496e-01  1.69204176e+09]
[-3.05988822e-03  3.33933213e-01  1.69204176e+09]
[-3.12564619e-03  3.55008638e-01  1.69204176e+09]
[-3.17496466e-03  3.67305375e-01  1.69204176e+09]
[-3.29004110e-03  3.57638956e-01  1.69204176e+09]
[-3.29004110e-03  3.43287282e-01  1.69204176e+09]
[-3.42155702e-03  2.73403016e-01  1.69204176e+09]
[-3.32292008e-03  9.39824251e-02  1.69204176e+09]
[-3.40511753e-03  1.21630803e-02  1.69204176e+09]
[-3.40511753e-03 -2.87905382e-03  1.69204176e+09]
[-3.43799652e-03 -2.63246146e-03  1.69204176e+09]
[-3.40511753e-03 -2.56670350e-03  1.69204176e+09]
[-3.42155702e-03 -2.71465892e-03  1.69204176e+09]
[-3.10920670e-03  8.54338901e-02  1.69204176e+09]
[-3.33935957e-03  1.78760875e-01  1.69204176e+09]
[-3.38867804e-03  1.76689500e-01  1.69204176e+09]
[-3.71746786e-03  9.12041512e-02  1.69204176e+09]
[-9.53183126e-02 -2.15571622e-03  1.69204176e+09]
[-2.35004673e-01 -3.20784364e-03  1.69204176e+09]
[-3.47319282e-01 -2.94481179e-03  1.69204176e+09]
[-3.80116068e-01 -2.96125128e-03  1.69204176e+09]
[-3.92873114e-01 -2.84617484e-03  1.69204176e+09]
[-3.86116483e-01 -2.81329586e-03  1.69204176e+09]
[-3.77830979e-01 -2.84617484e-03  1.69204176e+09]
[-3.71436016e-01 -2.84617484e-03  1.69204176e+09]
[-3.34627994e-01 -2.86261433e-03  1.69204176e+09]
[-1.71696190e-01 -2.89549332e-03  1.69204176e+09]
[-3.05302777e-02 -2.82973535e-03  1.69204176e+09]
[-1.79404742e-03  2.94081062e-02  1.69204176e+09]
[-2.20503470e-03  1.31645297e-01  1.69204176e+09]
[-2.35299011e-03  1.80059595e-01  1.69204176e+09]
[-2.33655062e-03  1.96137416e-01  1.69204176e+09]
[-2.38586910e-03  2.00181530e-01  1.69204176e+09]
[-2.40230859e-03  2.00148651e-01  1.69204176e+09]
[-2.51738502e-03  2.18034816e-01  1.69204176e+09]
[-2.56670350e-03  2.31860427e-01  1.69204176e+09]
[-2.51738502e-03  2.38337585e-01  1.69204176e+09]
[-2.53382452e-03  2.39291076e-01  1.69204176e+09]
[-2.56670350e-03  2.37301898e-01  1.69204176e+09]
[-2.50094553e-03  2.33570134e-01  1.69204176e+09]
[-2.68177993e-03  2.29065713e-01  1.69204176e+09]
[-2.59958248e-03  2.25383268e-01  1.69204176e+09]
[-2.68177993e-03  2.05195575e-01  1.69204176e+09]
[-2.63246146e-03  1.61515851e-01  1.69204176e+09]
[-2.58314299e-03  3.67236795e-02  1.69204176e+09]
[-2.58314299e-03 -4.95327642e-04  1.69204176e+09]
[-2.61602197e-03 -8.73435933e-04  1.69204176e+09]
[-2.64890095e-03 -1.33374168e-03  1.69204176e+09]
[-2.21625767e-02 -1.31730219e-03  1.69204176e+09]
[-6.56779097e-02 -1.35018117e-03  1.69204176e+09]
[-1.05198447e-01 -1.39949964e-03  1.69204176e+09]
[-1.29709729e-01 -1.48169710e-03  1.69204176e+09]
[-1.52511303e-01 -1.53101557e-03  1.69204176e+09]
[-1.68161699e-01 -1.51457608e-03  1.69204176e+09]
[-1.72024980e-01 -1.54745506e-03  1.69204176e+09]
[-1.68309655e-01 -1.54745506e-03  1.69204176e+09]
[-1.61470826e-01 -1.56389455e-03  1.69204176e+09]
[-1.38176067e-01 -1.51457608e-03  1.69204176e+09]
[-8.03419360e-02 -1.59677353e-03  1.69204176e+09]
[-7.37003815e-02 -1.53101557e-03  1.69204176e+09]
[-5.03069855e-02 -1.46525761e-03  1.69204176e+09]
[-1.99596849e-02 -1.56389455e-03  1.69204176e+09]
[-4.45724495e-03 -1.46525761e-03  1.69204176e+09]
[-3.65170990e-03 -1.54745506e-03  1.69204176e+09]
[-3.65170990e-03  6.59009293e-03  1.69204176e+09]
[-3.75034684e-03  2.02348703e-02  1.69204176e+09]
