HokinRight_Hand
Dev2/ai0 Dev2/ai1
[-6.79008779e-05  3.58986994e-01  1.69204497e+09]
[-5.14613870e-05  3.73124953e-01  1.69204497e+09]
[-1.17219351e-04  3.91471422e-01  1.69204497e+09]
[-1.99416805e-04  4.04146267e-01  1.69204497e+09]
[-1.00779860e-04  4.10228878e-01  1.69204497e+09]
[-1.50098332e-04  4.11478279e-01  1.69204497e+09]
[-1.00779860e-04  4.14749737e-01  1.69204497e+09]
[-3.50218961e-05  4.19878857e-01  1.69204497e+09]
[3.07360675e-05 4.19763781e-01 1.69204497e+09]
[-1.00779860e-04  4.18645895e-01  1.69204497e+09]
[-1.33658842e-04  4.17347176e-01  1.69204497e+09]
[-5.14613870e-05  4.11100171e-01  1.69204497e+09]
[-5.14613870e-05  4.06036808e-01  1.69204497e+09]
[-8.43403688e-05  3.92046804e-01  1.69204497e+09]
[-1.50098332e-04  3.39950066e-01  1.69204497e+09]
[-1.43338067e-01  1.78218372e-01  1.69204497e+09]
[-2.48830285e-01  6.73668901e-02  1.69204497e+09]
[-3.13453928e-01  1.75223543e-02  1.69204497e+09]
[-3.27805605e-01 -1.33374168e-03  1.69204497e+09]
[-3.39428325e-01 -1.25154422e-03  1.69204497e+09]
[-3.36929523e-01 -1.07070982e-03  1.69204497e+09]
[-3.42140842e-01 -1.16934677e-03  1.69204497e+09]
[-3.41877810e-01 -1.51457608e-03  1.69204497e+09]
[-3.46924734e-01 -1.05427033e-03  1.69204497e+09]
[-3.65534239e-01 -7.74798987e-04  1.69204497e+09]
[-3.71567532e-01  2.06923294e-03  1.69204497e+09]
[-3.77567947e-01  7.04755195e-04  1.69204497e+09]
[-3.71386698e-01 -7.41920005e-04  1.69204497e+09]
[-3.59205034e-01 -2.02420030e-03  1.69204497e+09]
[-3.38721427e-01 -3.86542328e-03  1.69204497e+09]
[-3.20753062e-01 -4.49012394e-03  1.69204497e+09]
[-3.11053762e-01 -3.48731499e-03  1.69204497e+09]
[-2.97441863e-01 -1.87624488e-03  1.69204497e+09]
[-2.59269363e-01 -4.78603477e-03  1.69204497e+09]
[-2.02849027e-01 -2.32011113e-03  1.69204497e+09]
[-1.76463643e-01  1.35439976e-02  1.69204497e+09]
[-1.50620762e-01  8.81792850e-02  1.69204497e+09]
[-1.16591014e-01  1.76064799e-01  1.69204497e+09]
[-9.99049306e-02  2.35740146e-01  1.69204497e+09]
[-8.90219874e-02  2.72564602e-01  1.69204497e+09]
[-5.03891829e-02  3.00561052e-01  1.69204497e+09]
[-9.07674191e-03  3.29642507e-01  1.69204497e+09]
[-6.98892656e-03  3.92342715e-01  1.69204497e+09]
[-2.76397739e-03  3.94463409e-01  1.69204497e+09]
[-4.40792648e-03  3.91323467e-01  1.69204497e+09]
[-1.23510473e-03  3.83366755e-01  1.69204497e+09]
[-2.71465892e-03  3.61666630e-01  1.69204497e+09]
[-2.07351877e-03  3.05558656e-01  1.69204497e+09]
[-1.33658842e-04  1.65280494e-01  1.69204497e+09]
[-6.05652280e-02  5.39358263e-02  1.69204497e+09]
[-1.75247120e-01  2.01991447e-03  1.69204497e+09]
[-2.46413680e-01 -1.36662066e-03  1.69204497e+09]
[-2.79983122e-01 -1.48169710e-03  1.69204497e+09]
[-3.07453513e-01 -1.54745506e-03  1.69204497e+09]
[-3.15295151e-01 -1.54745506e-03  1.69204497e+09]
[-3.18961158e-01 -1.21866524e-03  1.69204497e+09]
[-3.17958349e-01  3.26646904e-04  1.69204497e+09]
[-3.19405024e-01  6.71876213e-04  1.69204497e+09]
[-3.16741826e-01  2.93767922e-04  1.69204497e+09]
[-3.14966361e-01 -9.72072878e-04  1.69204497e+09]
[-3.10905807e-01  3.82825846e-03  1.69204497e+09]
[-3.09623526e-01  5.52152603e-03  1.69204497e+09]
[-3.01469538e-01  6.22842413e-03  1.69204497e+09]
[-3.01469538e-01  5.80099737e-03  1.69204497e+09]
[-3.02307952e-01  3.68030305e-03  1.69204497e+09]
[-3.01420220e-01  3.77893999e-03  1.69204497e+09]
[-3.03754628e-01  2.18430938e-03  1.69204497e+09]
[-3.01749010e-01  2.85832850e-03  1.69204497e+09]
[-2.99546118e-01  2.84188901e-03  1.69204497e+09]
[-2.93562143e-01  3.81181897e-03  1.69204497e+09]
[-2.82876473e-01  3.94333490e-03  1.69204497e+09]
[-2.63428554e-01  1.87195905e-03  1.69204497e+09]
[-2.14077200e-01 -3.32292008e-03  1.69204497e+09]
[-1.40592672e-01 -6.31490743e-03  1.69204497e+09]
[-9.53511915e-02 -2.28723216e-03  1.69204497e+09]
[-5.59621704e-02  5.45276479e-02  1.69204497e+09]
[-3.78294117e-02  1.33059093e-01  1.69204497e+09]
[-2.41188762e-02  1.86783346e-01  1.69204497e+09]
[-8.92878649e-03  2.28835561e-01  1.69204497e+09]
[-1.44881811e-03  2.71643991e-01  1.69204497e+09]
[-6.79008779e-05  3.24792858e-01  1.69204497e+09]
[-8.40556951e-04  3.31385093e-01  1.69204497e+09]
[-2.36942961e-03  3.29642507e-01  1.69204497e+09]
[-2.45162706e-03  3.25943622e-01  1.69204497e+09]
