u_1,u_2,angle,velocity,acceleration,results,time
-0.39657199967390816,0.0023815832663039204,-0.5314757572541515,0.0051517080685032765,0.0051517080685032765,0.0,1693076266.438674
-0.39443486570745134,0.002315825302723734,-0.5457670590672948,-0.014291301813143274,-0.01944300988164655,0.0,1693076266.4883301
-0.40152028678138485,0.0022500673391452923,-0.5776473292933287,-0.03188027022603394,-0.017588968412890663,0.0,1693076266.537489
-0.3986433756723081,0.0022007488664584074,-0.6256760808704819,-0.04802875157715317,-0.016148481351119234,0.0,1693076266.59052
-0.39114696729778314,0.0022171883573551985,-0.6885367858737982,-0.06286070500331634,-0.014831953426163162,0.0,1693076266.6404905
-0.38950301809308574,0.002250067339146164,-0.7650694529139481,-0.07653266704014991,-0.01367196203683358,0.0,1693076266.692502
-0.39670351561031286,0.0022336278482502454,-0.8542765790815758,-0.08920712616762766,-0.012674459127477743,0.0,1693076266.7425148
-0.4021778664634934,0.002134990902878221,-0.9551863821605101,-0.10090980307893423,-0.011702676911306562,0.0,1693076266.7885277
-0.4161514347105273,0.002118551411982303,-1.0667161871247672,-0.11152980496425706,-0.010620001885322836,0.0,1693076266.8404913
-0.4229409449305777,0.002233627848251117,-1.1874958541240848,-0.12077966699931762,-0.009249862035060567,0.0,1693076266.8924882
-0.4408271122915913,0.033830329176996035,-1.3158889876166984,-0.1283931334926137,-0.0076134664932960595,0.0,1693076266.9424994
-0.35266211645063794,0.3207980620108699,-1.4469272202379422,-0.13103823262124373,-0.002645099128630043,0.0,1693076266.9905102
-0.148450748951315,0.4684904211131086,-1.5540886746014517,-0.1071614543635095,0.02387677825773422,0.0,1693076267.0405042
-0.06296539369479728,0.5259464274404478,-1.6286800005123034,-0.07459132591085177,0.03257012845265774,0.0,1693076267.0918405
